id,Star_name,Distance,Mass,Radius
0,36.1,54 Piscium,53,0.798691378056286
1,66,81 Cancri,,
2,66.6,AB Pictoris,13.5,
3,163.08,CD−33°7795,20,
4,538,CT Chamaeleontis,17,2.2
5,58.3,Eta Coronae Borealis,63,
6,50.2,G 196-3,25,
7,103,GD 165,,
8,19.0,Gliese 570,52,
9,155.3,GU Piscium,11,
10,126.2,HD 89744,,
11,337.25,HD 100546,20,
12,58.3,HN Pegasi,28,1.01
13,,LHS 4040 [es],,
14,473,UScoCTIO 108,14,
15,330,WD 0137-349,53,
16,139,HD 41004 B,18.4,
17,,CoRoT-15,63.4,1.12
18,25.11,Xi Ursae Majoris B,37,
19,43.9,Upsilon Andromedae,13.98,
20,51.9,Gliese 758,23,
21,53.81,HD 112758,35,
22,66.6,BD−04°782,21,
23,55.44,HD 110833,17,
24,81.54,HD 89707,54,
25,302,Tau Geminorum,18.1,
26,698,HAT-P-13,15.2,
27,58.7,HD 217580,60,
28,163,HD 16760,14.3,
29,603.4,HD 13189,14,
30,83.92,HD 18445,39,
31,124.75,HD 8673,14,
32,7097,NGC 4349-127,19.8,
33,31.5,Gliese 569,116[6],
34,146.77,HD 29587,40,
35,522,ChaHα8,18,
36,4000,CoRoT-20,17,
37,123.5,HD 168443,34,
38,138,HD 38529 A,37,
39,11.8,Epsilon Indi,28,
40,590,HW Virginis,19.23,
41,37.55,DT Virginis,12.5,1.1
42,136,HD 4113,60,
43,19,Gliese 229,40,
44,111,TYC 9486-927-1,13.3 (± 1.7)  MJ,
45,11.8,Epsilon Indi,47,
46,180.8,HD 131664,18.15,
47,171,HD 136118,42,
48,156.42,HD 140913,46,
49,400,GQ Lupi b,1-42,1.8
50,101.95,HD 162020,15.0,
51,152.8,Nu Ophiuchi,21.9,
52,127.52,HD 164427,46,
53,12.57,SCR 1845-6357,40-50,
54,2220,COROT-3,21.66,1.01
55,57.7,15 Sagittae,65,
56,220,Zeta Delphini,55,
57,151.14,HD 202206,17.4,
